loss,mae,val_loss,val_mae
1826.3497314453125,33.59653854370117,1283.8223876953125,28.01350212097168
1575.7965087890625,31.44955062866211,1294.7647705078125,28.346506118774414
1722.6610107421875,32.89974594116211,1245.9263916015625,27.616548538208008
1626.53515625,32.23931884765625,1207.77490234375,27.219749450683594
1496.4539794921875,30.686038970947266,1195.7711181640625,27.029150009155273
1716.981201171875,32.190818786621094,1177.5198974609375,26.79144287109375
1751.7886962890625,31.980409622192383,1157.9163818359375,26.569522857666016
1458.0565185546875,30.554447174072266,1170.9150390625,26.80306053161621
1720.876953125,31.835859298706055,1160.66259765625,26.819761276245117
1600.1552734375,30.994855880737305,1152.75634765625,26.843650817871094
1650.6968994140625,33.2251091003418,1135.4080810546875,26.865800857543945
1548.569580078125,30.27244758605957,1081.808837890625,26.152822494506836
1651.0223388671875,31.381729125976562,1063.86572265625,25.922971725463867
1674.9324951171875,32.281639099121094,1045.0166015625,25.667448043823242
1575.6834716796875,30.563457489013672,1046.963623046875,25.856027603149414
1691.60107421875,31.112010955810547,1005.0794677734375,25.245763778686523
1605.6055908203125,31.060283660888672,997.8665771484375,25.0893611907959
1548.2021484375,30.764619827270508,998.8861083984375,25.217670440673828
1482.753173828125,30.508337020874023,1012.9586791992188,25.442514419555664
1597.1470947265625,30.360612869262695,965.9609375,24.818252563476562
1387.746826171875,28.556148529052734,953.97607421875,24.70220947265625
1452.934814453125,29.832050323486328,973.7635498046875,24.967060089111328
1594.4803466796875,31.220191955566406,939.836669921875,24.561304092407227
1495.86865234375,30.689167022705078,928.70556640625,24.47185707092285
1498.83349609375,30.395797729492188,921.3518676757812,24.328292846679688
1497.42919921875,29.85740852355957,925.2183227539062,24.23411750793457
1260.8182373046875,27.577064514160156,944.1564331054688,24.398052215576172
1285.084716796875,27.20343017578125,940.3068237304688,24.30681610107422
1423.60693359375,30.154176712036133,882.3865356445312,23.78803825378418
1354.7425537109375,28.3344669342041,869.6282958984375,23.66480255126953
1427.4776611328125,30.187053680419922,874.89599609375,23.829233169555664
1415.6097412109375,30.613685607910156,863.1350708007812,23.753768920898438
1471.734130859375,29.098636627197266,842.4448852539062,23.502914428710938
1385.51904296875,29.789079666137695,824.8082885742188,23.269563674926758
1417.930419921875,29.680295944213867,828.9326782226562,23.230945587158203
1381.642822265625,28.739990234375,824.4466552734375,23.038597106933594
1513.67578125,30.0589542388916,818.1012573242188,22.943769454956055
1639.239990234375,31.49919319152832,813.0349731445312,22.944293975830078
1485.7418212890625,29.622222900390625,830.64111328125,23.00896644592285
